service_id,operator_id,operator_name,line_name,description
14666,NXHH,Hotel Hoppa,H5X,Heathrow Terminal 5 - Renaissance - Heathrow Terminal 5
14667,NXHH,Hotel Hoppa,HHL,Heathrow Terminal 2 - Heathrow Terminal 3 - Hilton Garden Inn - Crowne Plaza / Holiday Inn Express T4 - Hilton T4 - Premier Inn T4 - Heathrow Terminal 5
14668,IFSC,IFS Cloud Cable Car,London Cable Car,Greenwich Peninsular - Royal Docks
14213,LONC,London Central (Go Ahead),1,Hampstead Heath - Belsize Park - Chalk Farm - Camden Town - Euston - Holborn - Waterloo - Elephant & Castle - Bermondsey - Surrey Quays - Canada Water
14214,LONC,London Central (Go Ahead),100,St Paul's Station - London Wall - Tower Gateway - Wapping - Shadwell
14215,LONC,London Central (Go Ahead),108,"Stratford International - Bow Church - North Greenwich - Blackheath - Lewisham, Shopping Centre"
14216,LONC,London Central (Go Ahead),12,Oxford Circus - Westminster - Elephant & Castle - Peckham - Dulwich Library
14380,LONC,London Central (Go Ahead),126,Bromley - Grove Park - Dunkery Road - Mottingham - Eltham
14217,LONC,London Central (Go Ahead),132,"North Greenwich - Blackheath, Sun in the Sands - Kidbrooke - Eltham - Bexleyheath"
14382,LONC,London Central (Go Ahead),162,Beckenham Junction - Park Langley - Bromley - Chislehurst - Eltham Station
14220,LONC,London Central (Go Ahead),171,"Bellingham, Catford Bus Garage - Brockley - New Cross - Peckham - Elephant & Castle"
14221,LONC,London Central (Go Ahead),172,Brockley Rise - New Cross - Elephant & Castle - Waterloo - Aldwych
14222,LONC,London Central (Go Ahead),176,Penge - Dulwich - Elephant & Castle - Waterloo - Tottenham Court Road
14223,LONC,London Central (Go Ahead),178,Woolwich - Queen Elizabeth Hospital - Shooters Hill Road - Kidbrooke  - Lewisham Station
